OrderDetailID,OrderID,ProductID,Quantity,UnitPrice,Discount
1,667,2,4,540.24,16.00
2,984,26,1,54.01,4.00
3,1161,69,1,514.23,14.00
4,1041,55,3,602.50,13.00
5,862,44,5,308.31,24.00
6,445,60,5,693.89,23.00
7,744,66,3,521.59,15.00
8,1190,30,4,323.17,18.00
9,1345,72,5,79.37,18.00
10,1386,32,2,184.22,22.00
11,578,36,5,374.30,24.00
12,67,3,2,370.31,7.00
13,636,40,5,134.89,16.00
14,365,53,1,129.67,20.00
15,715,52,1,535.91,23.00
16,754,76,2,108.89,19.00
17,472,39,2,540.22,7.00
18,285,2,5,387.10,16.00
19,1370,62,2,167.62,6.00
20,1259,49,1,487.46,24.00
21,1138,28,3,308.39,7.00
22,1071,45,4,140.29,7.00
23,370,63,4,107.96,7.00
24,59,3,4,431.48,13.00
25,1455,52,3,285.02,15.00
26,437,19,1,78.53,10.00
27,751,38,4,264.12,17.00
28,454,18,1,292.91,22.00
29,563,54,2,141.37,7.00
30,267,52,5,375.18,7.00
31,1459,4,2,379.33,14.00
32,855,7,2,449.39,5.00
33,378,22,5,310.35,14.00
34,120,27,5,104.47,22.00
35,937,48,1,397.43,11.00
36,546,53,2,90.88,13.00
37,887,20,1,612.28,4.00
38,709,30,2,116.75,17.00
39,958,17,1,136.73,22.00
40,1439,71,4,299.92,13.00
41,682,13,2,189.62,6.00
42,584,36,1,584.79,21.00
43,288,55,2,584.86,9.00
44,548,32,5,22.22,17.00
45,1492,71,1,154.51,8.00
46,1297,33,2,46.53,15.00
47,685,54,2,346.55,22.00
48,605,14,1,498.85,17.00
49,812,35,4,179.07,23.00
50,852,10,3,430.02,20.00
51,453,60,5,35.65,21.00
52,1239,13,5,504.02,3.00
53,778,54,2,504.36,15.00
54,1215,38,3,428.89,24.00
55,840,15,1,612.09,19.00
56,1212,51,3,388.61,13.00
57,329,78,4,83.88,25.00
58,859,75,5,681.33,11.00
59,762,3,5,302.91,17.00
60,849,30,5,25.47,23.00
61,1257,25,2,399.70,4.00
62,650,67,5,542.42,7.00
63,846,8,4,110.77,19.00
64,1386,49,5,132.21,25.00
65,413,6,3,379.85,11.00
66,1322,51,5,281.74,11.00
67,585,75,5,400.70,9.00
68,1005,33,4,216.01,6.00
69,906,2,3,449.54,2.00
70,1220,68,3,515.33,1.00
71,1343,1,1,39.60,8.00
72,1034,12,2,447.07,15.00
73,141,40,4,70.87,0.00
74,117,78,4,507.44,11.00
75,720,32,5,633.32,8.00
76,273,79,2,693.27,14.00
77,1175,44,4,243.77,8.00
78,343,48,3,418.44,8.00
79,536,23,1,402.64,9.00
80,656,1,5,89.60,14.00
81,591,3,3,410.36,14.00
82,1067,48,3,575.15,21.00
83,609,37,1,242.39,3.00
84,540,25,5,286.00,6.00
85,755,70,1,564.73,19.00
86,1130,4,2,393.66,0.00
87,394,61,3,436.23,17.00
88,968,28,4,588.27,5.00
89,86,61,3,65.17,7.00
90,848,11,2,480.53,10.00
91,924,70,2,693.68,10.00
92,682,1,4,557.04,22.00
93,197,67,2,422.93,8.00
94,671,69,5,269.28,4.00
95,1158,54,3,562.95,10.00
96,1496,47,4,475.19,12.00
97,145,55,3,264.61,16.00
98,205,10,5,35.64,10.00
99,578,36,3,52.18,17.00
100,854,64,5,686.54,18.00
101,821,2,5,341.05,21.00
102,1071,66,5,250.95,5.00
103,1425,28,2,69.79,9.00
104,68,6,5,295.63,18.00
105,235,31,5,320.61,19.00
106,46,56,3,478.32,3.00
107,1124,34,2,524.71,11.00
108,459,47,1,467.78,14.00
109,244,33,4,43.22,13.00
110,624,56,3,478.75,25.00
111,512,62,3,527.62,7.00
112,442,42,1,373.56,19.00
113,1271,19,2,76.72,8.00
114,706,76,4,284.49,2.00
115,339,8,2,570.35,18.00
116,119,65,5,573.92,0.00
117,585,37,1,294.09,19.00
118,702,63,4,159.00,2.00
119,1283,33,4,448.60,17.00
120,1084,10,5,339.71,11.00
121,988,64,5,170.31,9.00
122,736,64,2,391.45,9.00
123,608,23,4,649.84,5.00
124,886,17,3,555.36,17.00
125,1175,12,1,696.70,25.00
126,1455,25,2,47.66,5.00
127,966,5,5,292.94,18.00
128,147,78,1,103.25,25.00
129,1039,73,3,496.60,14.00
130,1430,34,3,99.27,20.00
131,1416,77,4,239.67,10.00
132,568,29,4,541.47,12.00
133,491,34,4,123.43,2.00
134,420,50,5,496.28,2.00
135,825,37,4,624.58,10.00
136,52,6,2,375.53,8.00
137,377,5,2,403.26,22.00
138,1099,66,1,132.07,7.00
139,1192,54,5,158.24,2.00
140,327,43,3,183.52,22.00
141,296,2,1,169.28,24.00
142,232,40,4,600.94,6.00
143,659,50,3,663.75,13.00
144,1046,72,4,358.46,16.00
145,883,16,3,559.70,9.00
146,1046,47,2,157.72,24.00
147,397,9,1,457.35,9.00
148,1051,41,5,126.61,20.00
149,1408,57,4,368.11,4.00
150,745,31,3,99.85,21.00
151,637,31,2,172.47,18.00
152,146,24,5,143.00,15.00
153,228,9,2,680.82,23.00
154,1207,2,5,176.56,23.00
155,1291,70,4,199.17,5.00
156,1081,45,2,66.97,23.00
157,860,39,4,365.69,4.00
158,974,41,2,676.75,1.00
159,414,58,5,518.04,3.00
160,1202,12,3,242.43,12.00
161,887,35,3,214.59,23.00
162,380,69,5,88.29,9.00
163,1263,37,4,489.02,14.00
164,905,76,5,604.58,4.00
165,628,67,1,675.92,21.00
166,1086,65,4,281.31,22.00
167,1330,30,1,525.35,12.00
168,1291,36,1,640.58,10.00
169,877,4,4,114.64,16.00
170,1015,3,3,73.51,10.00
171,1353,49,5,119.78,4.00
172,1382,75,5,677.06,16.00
173,960,46,2,635.03,19.00
174,183,44,1,457.65,4.00
175,209,25,4,459.93,6.00
176,1299,61,2,536.41,13.00
177,1224,51,4,411.52,14.00
178,432,37,2,224.04,3.00
179,1242,50,4,182.70,12.00
180,790,78,4,464.34,13.00
181,1477,44,4,616.03,7.00
182,462,20,4,334.87,20.00
183,1046,14,4,84.43,17.00
184,1233,65,3,187.59,2.00
185,1260,52,3,272.77,2.00
186,919,28,5,245.02,20.00
187,284,76,4,640.64,11.00
188,869,70,5,235.81,11.00
189,1479,60,4,430.87,12.00
190,1153,58,1,16.64,12.00
191,604,73,2,62.55,21.00
192,1439,66,5,694.38,15.00
193,1372,79,4,548.28,6.00
194,464,2,5,674.79,17.00
195,784,47,4,330.03,7.00
196,498,9,3,605.38,8.00
197,820,73,4,326.09,4.00
198,1100,69,3,693.54,12.00
199,537,45,1,233.42,2.00
200,222,71,2,280.16,9.00
201,111,65,1,75.91,9.00
202,1056,27,4,522.94,25.00
203,1230,29,2,496.53,12.00
204,184,60,5,224.59,7.00
205,755,39,3,196.75,6.00
206,623,38,4,445.82,1.00
207,1390,79,2,670.44,16.00
208,1272,57,3,432.07,4.00
209,1315,4,1,269.25,22.00
210,296,70,1,586.72,11.00
211,703,44,5,9.69,25.00
212,304,12,1,353.72,14.00
213,1359,10,4,552.98,7.00
214,104,32,5,541.39,16.00
215,832,3,3,169.67,8.00
216,284,38,3,320.11,21.00
217,922,50,3,468.93,0.00
218,1355,9,3,512.03,13.00
219,288,6,5,598.48,5.00
220,584,8,2,67.29,2.00
221,586,73,5,195.89,9.00
222,586,66,3,238.07,18.00
223,869,14,5,654.48,25.00
224,429,50,5,188.61,16.00
225,911,1,3,646.52,7.00
226,253,74,1,323.07,17.00
227,885,45,5,207.43,16.00
228,847,8,5,525.16,10.00
229,257,77,4,191.76,23.00
230,163,64,3,174.90,20.00
231,10,13,1,636.18,2.00
232,815,7,1,420.13,23.00
233,424,44,4,428.33,13.00
234,1237,22,1,631.80,23.00
235,651,76,2,128.46,7.00
236,1043,6,1,537.99,3.00
237,1156,13,3,249.26,21.00
238,256,80,5,503.75,8.00
239,957,9,4,80.26,12.00
240,1222,72,4,478.14,20.00
241,478,35,2,642.77,23.00
242,879,48,1,515.92,4.00
243,960,29,2,183.85,10.00
244,152,12,2,604.36,0.00
245,302,21,3,640.79,9.00
246,598,17,4,409.35,7.00
247,471,54,2,106.23,19.00
248,1470,80,2,156.91,5.00
249,1399,48,3,156.32,16.00
250,1079,30,1,419.84,9.00
251,990,24,1,90.82,1.00
252,283,27,5,101.85,15.00
253,1179,24,1,262.12,22.00
254,1316,10,1,197.25,4.00
255,1051,66,2,210.45,17.00
256,1140,63,5,218.85,15.00
257,274,26,4,423.04,3.00
258,689,60,4,570.46,8.00
259,762,70,2,346.74,0.00
260,129,54,4,172.48,12.00
261,451,18,1,589.83,25.00
262,891,21,4,183.59,24.00
263,2,44,5,111.22,5.00
264,897,36,5,339.00,10.00
265,446,56,4,127.77,3.00
266,1301,68,2,249.66,16.00
267,630,14,3,253.78,16.00
268,447,11,1,355.02,12.00
269,1209,17,5,444.88,2.00
270,172,19,1,221.69,13.00
271,364,46,3,447.24,6.00
272,298,28,2,565.92,14.00
273,503,75,1,238.59,11.00
274,1405,10,1,495.02,4.00
275,986,42,2,525.77,16.00
276,1342,42,1,45.84,14.00
277,573,71,5,279.07,4.00
278,1307,25,1,519.11,25.00
279,1499,19,2,191.14,22.00
280,1189,65,3,650.53,0.00
281,1347,68,1,381.75,16.00
282,565,52,2,435.29,1.00
283,1268,4,1,635.69,19.00
284,1324,5,1,35.65,0.00
285,186,71,4,36.40,14.00
286,475,48,3,98.31,6.00
287,1319,27,4,523.84,8.00
288,248,53,3,141.61,13.00
289,883,18,4,616.43,0.00
290,1140,54,1,270.02,1.00
291,455,74,3,299.14,25.00
292,455,67,2,400.42,16.00
293,1468,2,5,618.14,19.00
294,370,27,4,142.09,24.00
295,587,62,4,355.80,10.00
296,497,21,4,462.88,4.00
297,615,24,3,619.75,22.00
298,122,71,2,535.04,10.00
299,532,46,1,261.85,1.00
300,491,24,4,537.82,6.00
301,1430,44,3,94.74,18.00
302,563,30,4,54.40,21.00
303,528,43,5,471.16,0.00
304,481,73,3,640.66,23.00
305,1350,8,5,522.60,12.00
306,1424,26,1,624.25,21.00
307,11,45,2,57.76,20.00
308,852,8,2,204.27,5.00
309,276,72,3,121.50,8.00
310,572,46,2,453.35,19.00
311,745,18,5,646.46,16.00
312,1223,24,3,67.54,8.00
313,81,41,5,202.06,16.00
314,71,44,3,329.42,13.00
315,805,56,2,348.49,3.00
316,1313,5,1,687.15,22.00
317,1126,24,3,624.23,19.00
318,1304,6,1,502.48,13.00
319,1012,2,2,461.23,4.00
320,1194,18,5,550.80,14.00
321,116,71,2,140.67,11.00
322,985,20,3,623.20,2.00
323,689,23,3,22.71,4.00
324,581,55,5,508.36,4.00
325,1445,23,2,406.73,19.00
326,1381,75,1,169.80,15.00
327,11,46,5,423.82,8.00
328,1381,43,2,312.10,9.00
329,1401,1,2,434.14,18.00
330,820,7,1,105.34,3.00
331,244,10,3,587.97,19.00
332,1089,21,3,171.44,2.00
333,1143,15,5,279.08,9.00
334,1153,56,3,194.07,20.00
335,573,25,5,14.78,14.00
336,133,36,2,571.31,20.00
337,16,64,1,410.35,11.00
338,1292,10,1,24.28,6.00
339,768,45,1,492.88,16.00
340,186,43,1,111.87,3.00
341,1459,32,1,131.51,19.00
342,1075,43,3,41.57,10.00
343,1028,58,3,463.30,22.00
344,859,24,2,386.72,17.00
345,1169,45,1,650.38,25.00
346,1039,33,3,632.49,16.00
347,923,68,3,436.87,17.00
348,1055,29,5,252.42,4.00
349,904,23,2,504.79,22.00
350,801,72,3,560.11,14.00
351,1068,23,2,467.62,3.00
352,861,67,4,110.49,24.00
353,60,62,4,406.26,16.00
354,871,26,3,338.73,9.00
355,528,26,5,249.60,20.00
356,621,16,1,669.75,5.00
357,190,1,5,581.13,7.00
358,1027,2,3,550.72,18.00
359,1454,22,4,46.21,0.00
360,540,33,2,284.62,22.00
361,1497,33,2,651.45,8.00
362,668,32,5,92.57,10.00
363,195,14,1,673.12,18.00
364,280,63,2,47.76,9.00
365,502,27,2,503.92,8.00
366,281,42,5,183.40,19.00
367,1171,34,2,332.30,5.00
368,1056,52,4,642.81,5.00
369,1121,16,1,446.91,22.00
370,1344,72,5,83.41,3.00
371,1092,59,4,188.78,12.00
372,1144,52,4,564.36,3.00
373,1460,77,1,196.08,7.00
374,953,39,1,282.30,20.00
375,799,53,1,603.93,4.00
376,5,56,5,281.18,8.00
377,276,74,5,68.95,12.00
378,501,5,3,604.45,15.00
379,661,11,4,179.32,24.00
380,415,19,2,180.79,8.00
381,620,53,4,389.71,14.00
382,73,44,3,359.64,1.00
383,905,62,4,460.05,15.00
384,1012,77,1,693.73,21.00
385,1181,47,3,203.21,14.00
386,1397,69,3,331.84,4.00
387,1243,71,2,405.00,22.00
388,115,66,1,345.75,24.00
389,659,54,3,621.96,8.00
390,904,59,1,542.62,2.00
391,304,19,1,373.92,18.00
392,780,13,4,607.48,4.00
393,1114,42,5,26.82,10.00
394,1416,50,1,88.75,25.00
395,1086,39,2,120.98,20.00
396,740,32,2,697.89,17.00
397,434,27,2,486.59,16.00
398,417,31,5,106.99,6.00
399,491,29,4,32.72,14.00
400,1358,20,2,339.34,13.00
401,858,28,2,248.85,10.00
402,186,61,1,154.96,8.00
403,101,40,4,145.97,24.00
404,1259,40,4,383.83,18.00
405,658,68,1,247.94,5.00
406,294,67,2,293.87,12.00
407,211,79,2,146.17,16.00
408,986,64,5,547.85,14.00
409,658,28,3,37.42,22.00
410,742,48,3,187.82,6.00
411,369,77,3,334.67,1.00
412,903,32,2,164.41,25.00
413,485,5,5,558.65,14.00
414,558,55,1,670.59,20.00
415,1448,36,2,485.70,12.00
416,45,27,5,383.63,4.00
417,487,52,3,559.38,19.00
418,558,32,3,581.28,14.00
419,381,62,5,258.73,7.00
420,1051,70,2,432.30,23.00
421,402,65,2,642.66,18.00
422,733,48,3,314.35,22.00
423,783,63,4,357.26,19.00
424,1450,49,3,262.25,21.00
425,1129,31,4,331.09,8.00
426,420,36,5,12.41,3.00
427,291,76,3,544.44,11.00
428,449,11,4,413.15,19.00
429,150,56,4,195.38,11.00
430,621,30,4,284.76,17.00
431,1125,30,3,201.50,21.00
432,17,58,5,114.53,8.00
433,600,13,2,138.94,12.00
434,1471,63,5,401.97,12.00
435,295,36,1,405.60,16.00
436,353,36,5,269.89,9.00
437,210,43,1,185.84,9.00
438,1302,29,1,493.56,23.00
439,51,24,4,416.92,25.00
440,1383,36,3,628.73,12.00
441,1372,60,4,399.86,17.00
442,1089,23,5,670.00,8.00
443,497,16,2,671.06,17.00
444,700,28,3,211.82,9.00
445,364,13,5,251.97,2.00
446,1071,2,3,51.72,10.00
447,692,31,4,628.23,18.00
448,1000,77,3,123.19,9.00
449,98,12,4,28.95,19.00
450,1140,13,4,142.72,4.00
451,358,9,2,656.04,17.00
452,509,71,1,216.38,25.00
453,413,23,2,62.74,4.00
454,980,9,5,137.48,21.00
455,976,22,4,364.39,10.00
456,188,22,4,272.03,9.00
457,1191,1,3,253.50,2.00
458,941,71,2,122.39,10.00
459,918,78,5,147.51,21.00
460,679,12,1,246.03,6.00
461,74,45,5,123.58,6.00
462,221,65,2,228.72,0.00
463,1321,4,5,304.02,6.00
464,638,22,1,415.38,15.00
465,697,72,2,491.89,10.00
466,394,23,5,642.27,19.00
467,1496,19,5,554.10,3.00
468,271,15,1,174.63,10.00
469,851,62,2,656.91,13.00
470,299,75,3,292.30,12.00
471,543,32,1,275.65,23.00
472,1481,38,1,313.16,13.00
473,388,32,5,698.46,18.00
474,1386,52,4,378.30,15.00
475,835,38,4,36.47,18.00
476,829,37,4,265.90,19.00
477,279,64,4,397.60,17.00
478,944,59,1,154.25,5.00
479,1024,61,3,35.73,10.00
480,188,45,1,96.82,4.00
481,451,25,5,196.71,2.00
482,30,64,3,448.87,12.00
483,1414,31,2,436.45,14.00
484,521,63,1,567.33,6.00
485,732,70,5,123.68,15.00
486,97,2,1,71.48,18.00
487,450,58,4,423.10,16.00
488,578,35,4,328.56,7.00
489,1208,50,5,595.82,21.00
490,636,67,1,432.61,6.00
491,1367,60,1,594.44,7.00
492,661,75,4,561.36,7.00
493,1326,47,5,411.13,15.00
494,647,53,3,250.12,15.00
495,324,39,4,359.77,19.00
496,237,32,1,259.66,11.00
497,239,3,1,302.31,4.00
498,1113,17,3,405.17,19.00
499,6,34,5,114.43,10.00
500,656,5,1,147.28,15.00
501,1414,50,3,106.12,6.00
502,1072,41,3,151.03,4.00
503,686,47,4,281.99,14.00
504,492,44,3,151.29,1.00
505,809,41,3,32.27,19.00
506,431,75,4,620.52,22.00
507,1303,52,2,589.23,5.00
508,1230,23,3,690.43,25.00
509,840,38,1,188.73,2.00
510,10,59,2,407.35,8.00
511,329,28,5,394.22,16.00
512,544,22,2,330.45,14.00
513,1493,49,5,136.86,12.00
514,235,70,2,102.15,23.00
515,1080,26,2,341.99,11.00
516,71,67,3,86.56,7.00
517,972,79,3,403.96,19.00
518,1295,9,1,635.89,14.00
519,1240,43,5,305.00,16.00
520,706,23,4,285.26,13.00
521,468,67,4,339.71,0.00
522,120,27,5,493.96,14.00
523,1068,35,1,494.90,13.00
524,917,42,4,88.91,19.00
525,312,46,4,113.57,6.00
526,1040,41,2,618.52,13.00
527,112,34,3,397.15,24.00
528,26,45,4,457.46,19.00
529,451,70,2,425.04,22.00
530,637,14,5,302.40,17.00
531,454,57,3,215.03,21.00
532,1183,48,3,211.24,19.00
533,1265,13,1,222.54,3.00
534,1076,64,2,373.22,10.00
535,254,57,1,575.29,21.00
536,530,34,1,377.20,1.00
537,59,62,1,378.58,19.00
538,188,30,4,22.33,22.00
539,1271,66,4,663.01,25.00
540,758,64,3,327.71,19.00
541,157,53,5,684.87,7.00
542,385,57,5,120.43,24.00
543,619,41,1,112.70,16.00
544,1027,18,1,618.38,6.00
545,264,26,3,605.95,11.00
546,144,4,1,17.59,12.00
547,217,45,4,554.02,10.00
548,18,21,1,488.31,12.00
549,1060,10,1,644.23,21.00
550,1315,80,4,96.21,15.00
551,469,72,5,326.12,11.00
552,1305,2,2,192.75,16.00
553,187,7,1,530.86,2.00
554,1429,15,5,153.07,22.00
555,780,72,5,172.58,9.00
556,1079,29,5,186.93,23.00
557,856,77,3,72.02,25.00
558,1200,76,4,642.85,18.00
559,40,62,4,549.70,6.00
560,664,32,4,412.80,21.00
561,901,36,1,214.71,19.00
562,514,65,1,162.04,15.00
563,110,43,3,532.10,4.00
564,872,73,3,53.70,19.00
565,874,79,2,319.58,25.00
566,869,10,5,602.93,13.00
567,930,16,3,131.63,24.00
568,1445,75,5,670.14,11.00
569,267,7,4,419.13,12.00
570,573,38,2,615.58,6.00
571,251,48,5,266.94,22.00
572,1359,67,4,479.44,21.00
573,745,67,1,443.65,21.00
574,451,45,1,557.71,4.00
575,1029,33,4,14.35,15.00
576,1418,34,5,360.04,3.00
577,131,53,5,242.77,7.00
578,466,63,5,115.37,15.00
579,747,29,3,182.46,4.00
580,890,22,3,143.45,16.00
581,27,37,1,262.73,22.00
582,1130,24,3,312.78,13.00
583,950,2,5,513.62,17.00
584,459,31,3,100.01,19.00
585,1463,74,2,257.30,8.00
586,1369,31,1,24.97,1.00
587,650,1,2,355.42,16.00
588,325,42,2,338.91,1.00
589,348,26,3,446.10,5.00
590,308,27,5,99.39,10.00
591,1122,48,4,373.55,3.00
592,152,61,1,89.08,23.00
593,670,59,2,362.36,23.00
594,920,52,4,500.46,14.00
595,1293,27,5,225.88,10.00
596,513,2,1,145.97,8.00
597,202,5,5,433.53,20.00
598,1378,25,2,229.68,5.00
599,324,2,4,573.51,6.00
600,158,19,5,465.05,7.00
601,1388,37,2,235.09,25.00
602,78,72,3,93.50,12.00
603,188,22,1,169.18,9.00
604,315,47,3,362.09,20.00
605,682,69,4,59.27,13.00
606,911,33,3,295.51,11.00
607,457,64,1,515.91,25.00
608,773,39,5,46.24,15.00
609,237,43,4,634.70,17.00
610,1152,80,5,227.67,9.00
611,1080,74,1,690.94,4.00
612,1127,42,2,95.82,18.00
613,1490,23,1,629.73,7.00
614,398,71,3,343.72,10.00
615,331,16,3,48.29,8.00
616,1022,64,1,536.37,15.00
617,1192,44,4,52.52,21.00
618,96,65,2,652.22,23.00
619,1299,20,2,177.99,1.00
620,867,23,5,282.19,2.00
621,1126,41,3,382.95,12.00
622,1054,23,2,563.55,22.00
623,1376,14,4,145.62,22.00
624,714,2,3,610.33,2.00
625,885,25,5,357.00,25.00
626,891,20,1,305.61,5.00
627,830,60,5,656.95,0.00
628,361,6,5,62.73,4.00
629,974,54,2,444.34,21.00
630,222,71,3,110.96,15.00
631,344,17,2,300.18,14.00
632,302,2,4,44.34,21.00
633,1094,77,2,352.36,18.00
634,550,60,3,45.69,12.00
635,1476,61,2,244.97,15.00
636,1148,43,3,619.65,23.00
637,241,22,1,582.39,22.00
638,201,70,1,69.58,11.00
639,449,44,3,488.83,11.00
640,510,20,4,165.52,14.00
641,534,78,2,585.54,23.00
642,1130,42,5,253.63,13.00
643,1125,68,2,113.62,10.00
644,188,30,4,566.82,19.00
645,1054,2,4,505.87,11.00
646,972,20,3,347.19,25.00
647,429,42,2,501.25,18.00
648,755,3,5,182.65,9.00
649,1327,69,4,450.25,1.00
650,1138,55,5,144.75,24.00
651,603,63,3,461.56,0.00
652,1259,30,3,356.72,13.00
653,1323,3,2,655.60,3.00
654,154,44,1,153.17,17.00
655,1324,73,2,374.46,17.00
656,643,61,3,309.63,6.00
657,165,69,5,300.86,25.00
658,509,7,5,595.17,5.00
659,1095,38,2,698.29,8.00
660,1465,35,4,142.46,12.00
661,1233,75,4,193.34,11.00
662,1386,63,4,30.67,18.00
663,775,80,3,500.15,1.00
664,1332,40,5,187.67,0.00
665,1301,65,3,119.99,8.00
666,256,72,4,524.21,11.00
667,967,49,5,654.26,18.00
668,257,70,2,594.25,20.00
669,157,14,5,316.91,3.00
670,607,35,4,343.03,17.00
671,74,3,1,61.98,7.00
672,1258,12,3,120.34,21.00
673,340,32,5,346.87,2.00
674,1489,13,5,503.00,1.00
675,1456,77,3,697.50,24.00
676,1075,42,5,228.27,1.00
677,135,30,5,387.53,24.00
678,1030,51,2,528.46,11.00
679,1473,65,3,119.83,9.00
680,69,29,2,494.81,6.00
681,508,10,2,463.50,3.00
682,109,18,5,477.29,2.00
683,1491,14,2,454.57,20.00
